tactic,level,host_about,text_length,ouverture,authenticité,sociabilité,auto_promotion,exemplarité
ouverture,high,"Hello! Am Dana and I love traveling meeting new people and adventures. 
My favorite things are music and literature good jazz and interesting book can make any place home :) 
I have a passion for learning new languages so that you can communicate with me not only in English and Russian but also in Italian and French ",57,1.6452385565940195,0.3675916689697061,1.259445139454329,0.5684618535247615,-0.5486668778741667
ouverture,low,"Au cœur de Paris, Eliav et The Konciergerie vous ouvrent les portes d'une expérience sur mesure. Notre équipe, composée de passionnés et d'amoureux de la capitale française, est dédiée à faire de votre séjour un moment exceptionnel. Authentiquement parisiens, nous aspirons à vous faire découvrir les charmes et les secrets de notre ville avec enthousiasme. Nous sommes à votre disposition à tout moment.
Nous attendons votre visite avec impatience !",70,-1.4832876349047848,-0.5613227331182562,-0.3264399827189444,0.9201621657971054,-0.3247770839290325
authenticité,high,"Hey! I love to travel and visit as many cities as possible, while enjoying beach holidays too. Recently, I became a mum to a little girl <3

I work in tech, I enjoy reading, socialising, family time, sports and sight seeing.",41,0.2461694621690777,1.490830900318684,-0.2414705382066387,-1.0396419878864611,-0.6505625355096686
authenticité,low,"Dear guest,

We take pride in helping thousands of busy hosts across Europe to rent their properties professionally so you can have the stay of your dreams. This and every other home we manage features hotel-quality amenities and services, such as professional cleaning before your stay, beautiful linens, fluffy white towels, and bathroom essentials.

If you need further information on this and any other ALTIDO London home, just call us and we’ll be happy to help anytime, 24 hours a day. We are committed to providing the best experience for you; from “Welcome” to ""See you soon”, stay in an ALTIDO!",101,0.093753926431236,-1.8412327318033048,-1.0258983631406198,1.5872651889157603,0.5808405676041887
sociabilité,high,"Bonjour. Italien, j'habite à Paris depuis une dizaine d'années. On dit de moi que je suis gentil et accueillant. J'ai une passion pour le théâtre et le ping-pong que je pratique souvent sur les bords du canal de la Villette. Je parle français, anglais, espagnol, italien, et un peu de suédois J'espère sincèrement que vous serez bien chez moi. Au plaisir de se voir! F",65,1.4092345727000484,-0.2279633483781235,1.2339254843506535,0.5176318656113936,-0.5213720069591541
sociabilité,low,"Fondé par Heidi Barnes et présidé par Thibault de Saint Vincent depuis plus de 25 ans, BARNES est aujourd’hui la première société internationale d’immobilier résidentiel haut de gamme totalement intégrée qui propose à ses clients français et internationaux une offre de service globale et personnalisée au travers de ses différents métiers.",51,0.156476989028661,-1.4962295643343857,-1.7272874628295232,0.3615329549626146,-0.5681336843981912
auto_promotion,high,"We are looking after these family-owned lovely apartments and taking care of our wonderful guests. We will answer any questions you have, so please feel free to ask. Will keep in touch as much as we possibly can.  
",38,-1.0792290924928372,-1.3206633708808984,0.6677275271303296,1.6568553477598391,1.3763978613621115
auto_promotion,low,Mariée et Mère de 2 enfants de 7 et 9 ans. Vivant à paris dans le 5 eme arrondissement. ,19,-1.5991329645404782,-0.8321878489655834,-1.2292052472787982,-1.5367757484530542,-0.6030970185257083
exemplarité,high,"Hello there, I'm Dmitry! 

I love the way AirBnB allows people from all over the World to stay at most popular destinations without spending a fortune on hotels with tiny rooms and small bathrooms. Apartments are much better choice in terms of both quality and price.   

I have background in hospitality and I'll do anything I can to ensure you enjoy your stay at my place. 
",66,0.3771698263233526,-1.1240393542549585,0.7654882694033608,1.517262670919487,2.683873839963652
exemplarité,low,"Professeur de théâtre et de cinéma, metteur en scène.
www.epidorarts.com
Facebook : Fabrice Nicot - Epi d'Or Arts
Très calme mais sociable.

Theater and movie teacher. Director.
www.epidorarts.com
Facebook : Fabrice Nicot - Epi d'Or Arts
Very calm but sociable.
",40,-1.0212714016968376,-1.067422191370108,-0.600056426142551,-0.1815465203912136,-0.7109914609709268
